Name,Type,Image,Stats
Millennium,Indica,https://assets.wikileaf.com/assets/strains/strain/Millennium-icon.jpg,THC 20%
Silver Haze,Hybrid,https://assets.wikileaf.com/assets/strains/strain/SIlver-Haze-icon.jpg,THC 14%
Chiesel,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Chiesel_500x500.png,THC 18%
Lavender Kush,Indica,https://assets.wikileaf.com/assets/strains/strain/Lavender-Kush-icon.jpg,THC 18%
The Void,Hybrid,https://assets.wikileaf.com/assets/strains/strain/The-Void-icon.jpg,THC 16%
Ed Rosenthal Super Bud,Indica,https://assets.wikileaf.com/assets/strains/strain/Ed_Rosenthal_Super_Bud.jpg,THC 19%
A-Train,Hybrid,https://assets.wikileaf.com/assets/strains/strain/A-Train-icon.jpg,THC 20%
Hashberry,Indica,https://assets.wikileaf.com/assets/strains/strain/Hashberry.png,THC 18%
Purple Kush,Indica,https://assets.wikileaf.com/assets/strains/strain/Purple_Kush_500x500.png,THC 27%
Fire OG Kush,Indica,https://assets.wikileaf.com/assets/strains/strain/Fire_OG_Kush.jpg,THC 20%
Afghan Kush,Indica,https://assets.wikileaf.com/assets/strains/strain/Afghan-Kush-Icon.jpg,THC 17%
LA Confidential,Indica,https://assets.wikileaf.com/assets/strains/strain/LA_Confidential_500x500.png,THC 26%
Querkle,Indica,https://assets.wikileaf.com/assets/strains/strain/Querkle-icon.jpg,THC 35%
Banana Kush,Indica,https://assets.wikileaf.com/assets/strains/strain/Banana-Kush-Icon.jpg,THC 18%
Blackberry Kush,Indica,https://assets.wikileaf.com/assets/strains/strain/Blackberry-Kush-Icon.jpg,THC 20%
Kosher Kush,Indica,https://assets.wikileaf.com/assets/strains/strain/Kosher_Kush.png,THC 20%
Blueberry Kush,Indica,https://assets.wikileaf.com/assets/strains/strain/Blueberry-Kush-Icon.jpg,THC 24%
Bubblegum,Indica,https://assets.wikileaf.com/assets/strains/strain/Bubblegum-icon.jpg,THC 19%
Pre-98 Bubba Kush,Indica,https://assets.wikileaf.com/assets/strains/strain/Pre-98-Bubba-Kush-icon.jpg,THC 28%
White Rhino,Indica,https://assets.wikileaf.com/assets/strains/strain/White_Rhino-Icon.jpg,THC 22%
Critical Mass,Indica,https://assets.wikileaf.com/assets/strains/strain/Critical-Mass-icon.jpg,THC 22%
Afgooey,Indica,https://assets.wikileaf.com/assets/strains/strain/Afgooey.jpg,THC 20%
Big Bud,Indica,https://assets.wikileaf.com/assets/strains/strain/Big-bud-icon.jpg,THC 20%
Cheese,Indica,https://assets.wikileaf.com/assets/strains/strain/Cheese-Icon.jpg,THC 20%
Cherry Kush,Indica,https://assets.wikileaf.com/assets/strains/strain/Cherry-Kush-icon.jpg,THC 18%
Hollands Hope,Indica,https://assets.wikileaf.com/assets/strains/strain/Hollands-Hope-icon.jpg,THC 18%
Mr. Nice,Indica,https://assets.wikileaf.com/assets/strains/strain/Mr-Nice-icon.jpg,THC 20%
Maple Leaf Indica,Indica,https://assets.wikileaf.com/assets/strains/strain/Maple-Leaf-Indica-icon.jpg,THC 18%
Power Plant,Sativa,https://assets.wikileaf.com/assets/strains/strain/Power-Plant-icon.png,THC 20%
Pot of Gold,Indica,https://assets.wikileaf.com/assets/strains/strain/Pot-of-Gold-icon.jpg,THC 21%
Romulan,Indica,https://assets.wikileaf.com/assets/strains/strain/Romulan.jpg,THC 20%
Black Domina,Indica,https://assets.wikileaf.com/assets/strains/strain/Black-Domina-icon.jpg,THC 20%
Hogs Breath,Indica,https://assets.wikileaf.com/assets/strains/strain/Hogs_Breath.jpg,THC 13%
Kryptonite,Indica,https://assets.wikileaf.com/assets/strains/strain/Kryptonite.jpg,THC 27%
Rocklock,Indica,https://assets.wikileaf.com/assets/strains/strain/Rocklock.jpg,THC 16%
Superman OG,Indica,https://assets.wikileaf.com/assets/strains/strain/Superman-OG-icon.png,THC 18%
Blue Rhino,Indica,https://assets.wikileaf.com/assets/strains/strain/Blue-Rhino-icon.jpg,THC 18%
Fucking Incredible,Indica,https://assets.wikileaf.com/assets/strains/strain/Fucking-Incredible-icon.jpg,THC 18%
Burmese Kush,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Burmese_Kush.jpg,THC 18%
Kings Kush,Indica,https://assets.wikileaf.com/assets/strains/strain/Kings_Kush.jpg,THC 20%
Panama Red,Sativa,https://assets.wikileaf.com/assets/strains/strain/Panama_Red.jpg,THC 16%
Rosetta Stone,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Strain-RosettaStone-1.png,THC 20%
Diablo OG,Sativa,https://assets.wikileaf.com/assets/strains/strain/Diablo_OG.jpg,THC 20%
Red Dragon,Sativa,https://assets.wikileaf.com/assets/strains/strain/Red-Dragon-icon.jpg,THC 22%
707 Headband,Indica,https://assets.wikileaf.com/assets/strains/strain/707_Headband.jpg,THC 24%
Shark Shock,Indica,https://assets.wikileaf.com/assets/strains/strain/Shark_Shock.jpg,THC 20%
Pineapple Kush,Indica,https://assets.wikileaf.com/assets/strains/strain/Pineapple_Kush.jpg,THC 17%
Zero Gravity,Indica,https://assets.wikileaf.com/assets/strains/strain/Zero_Gravity.jpg,THC 18%
White Russian,Hybrid,https://assets.wikileaf.com/assets/strains/strain/White_Russian.jpg,THC 22%
Green Queen,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Green_Queen500x500.png,THC 20%
American Dream,Indica,https://assets.wikileaf.com/assets/strains/strain/American_Dream.jpg,THC 18%
UBC Chemo,Indica,https://assets.wikileaf.com/assets/strains/strain/UBC_Chemo.jpg,THC 29%
Super Critical,Indica,https://assets.wikileaf.com/assets/strains/strain/Super_Critical.jpg,THC 18%
Papaya,Indica,https://assets.wikileaf.com/assets/strains/strain/Papaya.jpg,THC 25%
Quasar,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Quasar.jpg,THC 15%
Purple Suicide,Indica,https://assets.wikileaf.com/assets/strains/strain/Purple_Suicide.jpg,THC 19%
Purple Lightning,Indica,https://assets.wikileaf.com/assets/strains/strain/Purple_Lightning.jpg,THC 15%
Beyond the Brain,Sativa,https://assets.wikileaf.com/assets/strains/strain/Beyond_the_Brain.jpg,THC 25%
Avalon,Indica,https://assets.wikileaf.com/assets/strains/strain/Avalon-icon.png,THC 19%
Yumboldt,Indica,https://assets.wikileaf.com/assets/strains/strain/Yumboldt.jpg,THC 20%
Ace of Spades,Indica,https://assets.wikileaf.com/assets/strains/strain/Ace_of_Spades_500x500.png,THC 20%
8 Miles High,Sativa,https://assets.wikileaf.com/assets/strains/strain/8-miles-high-Icon.png,THC 23%
Venomberry,Sativa,https://assets.wikileaf.com/assets/strains/strain/Venomberry.jpg,THC 16%
Timewreck,Sativa,https://assets.wikileaf.com/assets/strains/strain/Timewreck.jpg,THC 24%
Think Different,Sativa,https://assets.wikileaf.com/assets/strains/strain/Think_Different.jpg,THC 18%
Taiga,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Taiga.jpg,THC 15%
Sugar Klingon,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Sugar_Klingon.jpg,THC 17%
StarRyder,Indica,https://assets.wikileaf.com/assets/strains/strain/starryder-icon.png,THC 19%
Shooting Star,Indica,https://assets.wikileaf.com/assets/strains/strain/Shooting_Star.jpg,THC 19%
Royal Cheese,Indica,https://assets.wikileaf.com/assets/strains/strain/Royal_Cheese.jpg,THC 16%
Quick One,Indica,https://assets.wikileaf.com/assets/strains/strain/Quick_One.jpg,THC 13%
Qleaner,Sativa,https://assets.wikileaf.com/assets/strains/strain/Qleaner.jpg,THC 20%
Timewarp,Sativa,https://assets.wikileaf.com/assets/strains/strain/Timewarp.jpg,THC 14%
Ghost OG,Indica,https://assets.wikileaf.com/assets/strains/strain/Ghost-OG-Icon.jpg,THC 24%
God's Gift,Indica,https://assets.wikileaf.com/assets/strains/strain/Gods_Gift.jpg,THC 25%
XJ-13,Hybrid,https://assets.wikileaf.com/assets/strains/strain/XJ-13-strain-icon.jpg,THC 24%
Black Jack,Indica,https://assets.wikileaf.com/assets/strains/strain/Black_Jack_500x500.png,THC 25%
White Castle,Indica,https://assets.wikileaf.com/assets/strains/strain/White_Castle.jpg,THC 19%
U Pink Kush,Indica,https://assets.wikileaf.com/assets/strains/strain/U_Pink_Kush.jpg,THC 18%
Painkiller,Indica,https://assets.wikileaf.com/assets/strains/strain/Painkiller.jpg,THC 18%
G-13,Indica,https://assets.wikileaf.com/assets/strains/strain/G-13-Icon.jpg,THC 27%
Queso,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Queso.jpg,THC 16%
Outlaw,Sativa,https://assets.wikileaf.com/assets/strains/strain/Outlaw.jpg,THC 17%
Custard Cream,Indica,https://assets.wikileaf.com/assets/strains/strain/Custard_Cream.jpg,THC 20%
Ambrosia,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Ambrosia.jpg,THC 16%
Happy Nightmare,Indica,https://assets.wikileaf.com/assets/strains/strain/happy-nightmare-icon.png,THC 19%
Galactic Jack,Sativa,https://assets.wikileaf.com/assets/strains/strain/Galactic_Jack.jpg,THC 26%
Fallen Angel,Indica,https://assets.wikileaf.com/assets/strains/strain/Fallen_Angel.jpg,THC 18%
Elderberry,Indica,https://assets.wikileaf.com/assets/strains/strain/Elderberry.jpg,THC 20%
Vaniluna,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Vaniluna.jpg,THC 17%
Satori,Sativa,https://assets.wikileaf.com/assets/strains/strain/Satori.jpg,THC 28%
Rock Bud,Indica,https://assets.wikileaf.com/assets/strains/strain/Rock_Bud.jpg,THC 16%
Nepalese Dragon,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Nepalese_Dragon.jpg,THC 17%
Michigan Skunk,Indica,https://assets.wikileaf.com/assets/strains/strain/Michigan_Skunk.jpg,THC 17%
Little Angel,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Little_Angel.jpg,THC 15%
Krystalica,Sativa,https://assets.wikileaf.com/assets/strains/strain/Krystalica.jpg,THC 20%
Jock Horror,Sativa,https://assets.wikileaf.com/assets/strains/strain/Jock_Horror.jpg,THC 24%
Inferno Haze,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Inferno_Haze.jpg,THC 23%
Duke Nukem,Sativa,https://assets.wikileaf.com/assets/strains/strain/Duke_Nukem.jpg,THC 20%
Bonkers,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Bonkers.jpg,THC 18%
Flash Back,Sativa,https://assets.wikileaf.com/assets/strains/strain/Flash_Back.jpg,THC 18%
Exile,Indica,https://assets.wikileaf.com/assets/strains/strain/Exile.jpg,THC 18%
Dynamite,Indica,https://assets.wikileaf.com/assets/strains/strain/Dynamite.jpg,THC 24%
Cyclops,Indica,https://assets.wikileaf.com/assets/strains/strain/Cyclops.jpg,THC 20%
Vanilla Kush,Indica,https://assets.wikileaf.com/assets/strains/strain/Vanilla_Kush.jpg,THC 22%
Platinum OG,Indica,https://assets.wikileaf.com/assets/strains/strain/Platinum_OG.jpg,THC 24%
Purple Diesel,Sativa,https://assets.wikileaf.com/assets/strains/strain/Purple_Diesel.jpg,THC 21%
Juicy Fruit,Sativa,https://assets.wikileaf.com/assets/strains/strain/Juicy_Fruit.jpg,THC 20%
Nirvana Special,Sativa,https://assets.wikileaf.com/assets/strains/strain/Nirvana_Special.png,THC 20%
Kilimanjaro,Sativa,https://assets.wikileaf.com/assets/strains/strain/Kilimanjaro.jpg,THC 18%
Elvis,Sativa,https://assets.wikileaf.com/assets/strains/strain/Elvis.png,THC 22%
